zone,circle,division,substation,feeder,input_energy_kwh,sold_energy_kwh,net_assessment,revenue_realized,consumers,billed_consumers,paid_consumers,smart_meter_consumers,total_outstanding_amount,billing_efficiency_pct,collection_efficiency_pct,atc_loss_pct,line_loss_pct
JHANSI,EDC LALITPUR,EDD I LALITPUR,,,23.315,16.921913,1187.410544,1227.540464,83414,80374,28662,25029,2660290760,,,,
JHANSI,EDC LALITPUR,"EDD MAHRAUNI, LALITPUR",,,32.913,20.554562,991.83289,895.88217,83832,79469,12242,16823,6617226435,,,,
JHANSI,EDC ORAI,EDD I ORAI,,,59.019,42.769486,2668.037497,2202.722087,132908,129022,43267,27922,5787484162,,,,
JHANSI,EDC ORAI,EDD II ORAI,,,48.184,40.259585,1992.669458,1875.034801,147457,143554,32552,29891,7523215114,,,,
JHANSI,EUDC JHANSI,EUDD I JHANSI,,,32.451,24.429156,1966.790796,2180.427896,72314,69958,57317,44057,760518880.6,,,,
JHANSI,EUDC JHANSI,EUDD II JHANSI,,,31.909,23.792333,1945.249114,2091.645147,76743,73638,59431,47852,1357494850,,,,
KANPUR I,EDC KANPUR,EDD II CHAUBEYPUR,,,37.192,31.328298,2279.261344,1864.492671,106446,104321,28940,6843,1505133253,,,,
KANPUR I,EDC KANPUR,EDD GHATAMPUR,,,15.477,14.188216,616.769403,448.614235,85043,80888,20126,11176,7205303782,,,,
KANPUR I,EDC KANPUR,EDD I KANPUR,,,29.768,24.962372,1453.123481,1298.674415,114003,108506,27198,15900,2416584615,,,,
KANPUR I,EDC KANPUR DEHAT,EDD JHIJAK,,,15.3,14.235246,685.836891,686.402808,102090,98834,14861,8192,2633175872,,,,
KANPUR I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,,,50.997,46.9666,3493.578689,3452.39561,96485,92525,19273,5014,3667136046,,,,
KANPUR I,EDC KANPUR DEHAT,EDD PUKHRAYAN,,,28.12,26.923311,804.027064,927.568742,112082,104995,26586,9979,3769464626,,,,
KANPUR II,EDC AURAIYA,EDD AURAIYA,,,31.007,27.99774,1733.501153,1585.116376,108197,103946,25188,12392,5860838334,,,,
KANPUR II,EDC AURAIYA,EDD DIBYAPUR,,,28.171,27.207375,1057.094725,757.869513,136357,130783,26476,20180,3489336761,,,,
KANPUR II,EDC ETAWAH,EUDD ETAWAH,,,29.742,23.181664,1548.832122,1594.196966,68249,65969,40474,16712,2833634675,,,,
KANPUR II,EDC ETAWAH,EDD ETAWAH RURAL,,,35.167,25.517852,1319.039835,982.649368,115766,113519,23987,3454,5497995996,,,,
KANPUR II,EDC ETAWAH,"EDD SAIFAI, ETAWAH",,,38.173,28.624956,1335.289776,959.697429,76540,74600,14026,4933,4723333097,,,,
KANPUR II,EDC FARRUKHABAD,EDD FARRUKKHABAD,,,47.051,36.510966,1457.787346,1636.288242,139702,126609,14880,12679,6274208251,,,,
KANPUR II,EDC FARRUKHABAD,EDD KAYAMGANJ,,,27.105,19.914746,897.605478,825.814496,111430,105268,24511,24114,3166581603,,,,
KANPUR II,EDC FARRUKHABAD,EUDD FARRUKHABAD,,,24.987,21.172869,1355.954264,1749.615954,75152,70749,45889,39032,687430551.5,,,,
KANPUR II,EDC KANNAUJ,EDD CHHIBRAMAU,,,58.618,44.894946,1975.00901,1710.212074,148861,141658,39310,44303,4743946636,,,,
KANPUR II,EDC KANNAUJ,EDD KANNAUJ,,,47.881,37.955975,1909.558052,1390.691277,115857,110580,28007,34480,5129014929,,,,
MATHURA,EDC I MATHURA,"EDD GOVERDHAN, MATHURA",,,30.955,24.497391,1267.756263,1163.596317,83130,79914,34963,35493,1585518691,,,,
MATHURA,EDC I MATHURA,EDD MATHURA RURAL,,,38.037,36.114461,2418.383399,2449.747515,84121,81591,34076,34305,2363203154,,,,
MATHURA,EDC I MATHURA,EDD KOSIKALAN,,,50.059,45.153112,2595.240743,2304.616848,76334,71827,18479,14428,2769795832,,,,
MATHURA,EDC II MATHURA,"EDD LAXMINAGAR, MATHURA",,,22.392,17.73652,892.070624,889.9978,67918,66158,26205,23278,1371799345,,,,
MATHURA,EDC II MATHURA,EDD MATH,,,16.892,14.349475,452.364945,353.268182,55305,53954,12100,3517,1182469842,,,,
MATHURA,EUDC MATHURA,"EUDD CANTT, MATHURA",,,25.478,20.05188,1769.706751,1656.039837,51026,49592,43853,40339,304498472.5,,,,
MATHURA,EUDC MATHURA,"EUDD VRINDAVAN, MATHURA",,,31.533,24.52642,2071.741159,1924.617664,60461,58117,35110,19416,3128635297,,,,
MATHURA,EUDC MATHURA,"EUDD KRISHNANAGAR, MATHURA",,,32.66,26.782459,2359.507535,2215.399804,62796,59201,49073,50000,9307172662,,,,
TORRENT,TORRENT,TORRENT,,,221.121,221.216383,8956.693548,8311.429359,0,0,0,0,0,,,,
